id,name,team,lname
,,,
8497.0,Travis Head,Sunrisers Hyderabad ,Head
12086.0,Abhishek Sharma,Sunrisers Hyderabad ,absharma
10276.0,Ishan Kishan,Sunrisers Hyderabad ,Kishan
14701.0,Nitish Kumar Reddy,Sunrisers Hyderabad ,Reddy
10209.0,Heinrich Klaasen (wk),Sunrisers Hyderabad ,Klaasen
1447065.0,Aniket Verma,Sunrisers Hyderabad ,Verma
10499.0,Abhinav Manohar,Sunrisers Hyderabad ,Manohar
8095.0,Pat Cummins (c),Sunrisers Hyderabad ,Cummins
14163.0,Simarjeet Singh,Sunrisers Hyderabad ,sjsingh
8175.0,Harshal Patel,Sunrisers Hyderabad ,hpatel
7909.0,Mohammed Shami,Sunrisers Hyderabad ,Shami
13940.0,Yashasvi Jaiswal,Rajasthan Royals ,Jaiswal
19328.0,Shubham Dubey,Rajasthan Royals ,Dubey
9204.0,Nitish Rana,Rajasthan Royals ,nrana
12305.0,Riyan Parag (c),Rajasthan Royals ,Parag
14691.0,Dhruv Jurel (wk),Rajasthan Royals ,Jurel
9789.0,Shimron Hetmyer,Rajasthan Royals ,Hetmyer
11540.0,Jofra Archer,Rajasthan Royals ,Archer
18504.0,Maheesh Theekshana,Rajasthan Royals ,Theekshana
11307.0,Tushar Deshpande,Rajasthan Royals ,Deshpande
8356.0,Sandeep Sharma,Rajasthan Royals ,ssharma
14282.0,Fazalhaq Farooqi,Rajasthan Royals ,Farooqi
8271.0,Sanju Samson,Rajasthan Royals ,Samson
8520.0,Quinton de Kock (wk),Kolkata Knight Riders ,Kock
10917.0,Venkatesh Iyer,Kolkata Knight Riders ,viyer
1447.0,Ajinkya Rahane (c),Kolkata Knight Riders ,Rahane
10896.0,Rinku Singh,Kolkata Knight Riders ,rsingh
22566.0,Angkrish Raghuvanshi,Kolkata Knight Riders ,Raghuvanshi
2276.0,Sunil Narine,Kolkata Knight Riders ,Narine
7736.0,Andre Russell,Kolkata Knight Riders ,Russell
12337.0,Ramandeep Singh,Kolkata Knight Riders ,rdsingh
13143.0,Spencer Johnson,Kolkata Knight Riders ,Johnson
24729.0,Harshit Rana,Kolkata Knight Riders ,hrana
12926.0,Varun Chakaravarthy,Kolkata Knight Riders ,Chakaravarthy
1413.0,Virat Kohli,Royal Challengers Bengaluru ,Kohli
10479.0,Philip Salt,Royal Challengers Bengaluru ,Salt
10636.0,Rajat Patidar (c),Royal Challengers Bengaluru ,Patidar
10045.0,Liam Livingstone,Royal Challengers Bengaluru ,Livingstone
10214.0,Jitesh Sharma (wk),Royal Challengers Bengaluru ,jsharma
13169.0,Tim David,Royal Challengers Bengaluru ,David
11311.0,Krunal Pandya,Royal Challengers Bengaluru ,kpandya
14274.0,Rasikh Dar Salam,Royal Challengers Bengaluru ,Salam
36487.0,Suyash Sharma,Royal Challengers Bengaluru ,ssharma
6258.0,Josh Hazlewood,Royal Challengers Bengaluru ,Hazlewood
14172.0,Yash Dayal,Royal Challengers Bengaluru ,Dayal
11813.0,Ruturaj Gaikwad (c),Chennai Super Kings ,Gaikwad
11177.0,Rachin Ravindra,Chennai Super Kings ,Ravindra
9427.0,Deepak Hooda,Chennai Super Kings ,Hooda
11195.0,Shivam Dube,Chennai Super Kings ,Dube
587.0,Ravindra Jadeja,Chennai Super Kings ,Jadeja
10420.0,Sam Curran,Chennai Super Kings ,Curran
265.0,MS Dhoni (wk),Chennai Super Kings ,Dhoni
1593.0,Ravichandran Ashwin,Chennai Super Kings ,Ashwin
15452.0,Noor Ahmad,Chennai Super Kings ,Ahmad
15480.0,Nathan Ellis,Chennai Super Kings ,Ellis
10952.0,Khaleel Ahmed,Chennai Super Kings ,kahmed
576.0,Rohit Sharma,Mumbai Indians ,rsharma
13070.0,Ryan Rickelton (wk),Mumbai Indians ,Rickelton
12258.0,Will Jacks,Mumbai Indians ,Jacks
7915.0,Suryakumar Yadav (c),Mumbai Indians ,sky
14504.0,Tilak Varma,Mumbai Indians ,Varma
36139.0,Naman Dhir,Mumbai Indians ,Dhir
36454.0,Robin Minz,Mumbai Indians ,Minz
10100.0,Mitchell Santner,Mumbai Indians ,Santner
7836.0,Deepak Chahar,Mumbai Indians ,Chahar
8117.0,Trent Boult,Mumbai Indians ,Boult
1431171.0,Satyanarayana Raju,Mumbai Indians ,Raju
14501.0,Jake Fraser-McGurk,Delhi Capitals ,McGurk
7825.0,Faf du Plessis,Delhi Capitals ,Plessis
24326.0,Abishek Porel (wk),Delhi Capitals ,Porel
14700.0,Sameer Rizvi,Delhi Capitals ,Rizvi
8808.0,Axar Patel (c),Delhi Capitals ,apatel
19243.0,Tristan Stubbs,Delhi Capitals ,Stubbs
1431811.0,Vipraj Nigam,Delhi Capitals ,Nigam
7710.0,Mitchell Starc,Delhi Capitals ,Starc
8292.0,Kuldeep Yadav,Delhi Capitals ,kyadav
8181.0,Mohit Sharma,Delhi Capitals ,msharma
10754.0,Mukesh Kumar,Delhi Capitals ,mkumar
13497.0,Ashutosh Sharma,Delhi Capitals ,asharma
9582.0,Aiden Markram,Lucknow Super Giants ,Markram
6250.0,Mitchell Marsh,Lucknow Super Giants ,Marsh
9406.0,Nicholas Pooran,Lucknow Super Giants ,Pooran
13907.0,Ayush Badoni,Lucknow Super Giants ,Badoni
10744.0,Rishabh Pant (c & wk),Lucknow Super Giants ,Pant
6349.0,David Miller,Lucknow Super Giants ,Miller
54735.0,Prince Yadav,Lucknow Super Giants ,pyadav
1448289.0,Digvesh Rathi,Lucknow Super Giants ,rathi
14606.0,Shahbaz Ahmed,Lucknow Super Giants ,sahmed
8683.0,Shardul Thakur,Lucknow Super Giants ,Thakur
14659.0,Ravi Bishnoi,Lucknow Super Giants ,Bishnoi
12930.0,Manimaran Siddharth,Lucknow Super Giants ,Siddharth
11808.0,Shubman Gill (c),Gujarat Titans ,Gill
2258.0,Jos Buttler (wk),Gujarat Titans ,Buttler
13866.0,Sai Sudharsan,Gujarat Titans ,Sudharsan
10226.0,Shahrukh Khan,Gujarat Titans ,skhan
9693.0,Rahul Tewatia,Gujarat Titans ,Tewatia
