seriesName,mid,matchTitle,matchFormat,matchStatus,teamOne,teamTwo,matchDate,matchVenue,name_bat,dismissal,runs_bat,balls,fours,sixes,strikeRate,batlineup,inn,cname_bat,lname,name_bowl,overs,maidens,runs_bowl,wickets,noBalls,wides,eco,bwlineup,cname_bowl,lineup,id,name,team
INDIAN PREMIER LEAGUE 2025,114960,Kolkata Knight Riders vs Royal Challengers Bengaluru, 1st Match,Royal Challenger Bengaluru won by 7 wkts,KKR,RCB,23-Mar,,de Kock (wk),c Jitesh Sharma b Hazlewood,4,5,1,0,80.0,1,inn1,de Kock,Kock,,,,,,,,,,,1.0,8520.0,Quinton de Kock (wk),Kolkata Knight Riders 
INDIAN PREMIER LEAGUE 2025,114960,Kolkata Knight Riders vs Royal Challengers Bengaluru, 1st Match,Royal Challenger Bengaluru won by 7 wkts,KKR,RCB,23-Mar,,Narine,c Jitesh Sharma b Rasikh Salam,44,26,5,3,169.23,2,inn1,Narine,Narine,Sunil Narine,4.0,0.0,27.0,1.0,0.0,0.0,6.8,7.0,Sunil Narine,2.0,2276.0,Sunil Narine,Kolkata Knight Riders 
INDIAN PREMIER LEAGUE 2025,114960,Kolkata Knight Riders vs Royal Challengers Bengaluru, 1st Match,Royal Challenger Bengaluru won by 7 wkts,KKR,RCB,23-Mar,,Ajinkya Rahane (c),c Rasikh Salam b Krunal Pandya,56,31,6,4,180.65,3,inn1,Ajinkya Rahane,Rahane,,,,,,,,,,,3.0,1447.0,Ajinkya Rahane (c),Kolkata Knight Riders 
INDIAN PREMIER LEAGUE 2025,114960,Kolkata Knight Riders vs Royal Challengers Bengaluru, 1st Match,Royal Challenger Bengaluru won by 7 wkts,KKR,RCB,23-Mar,,Venkatesh Iyer,b Krunal Pandya,6,7,1,0,85.71,4,inn1,Venkatesh Iyer,viyer,,,,,,,,,,,4.0,10917.0,Venkatesh Iyer,Kolkata Knight Riders 
INDIAN PREMIER LEAGUE 2025,114960,Kolkata Knight Riders vs Royal Challengers Bengaluru, 1st Match,Royal Challenger Bengaluru won by 7 wkts,KKR,RCB,23-Mar,,Angkrish Raghuvanshi,c Jitesh Sharma b Yash Dayal,30,22,2,1,136.36,5,inn1,Angkrish Raghuvanshi,Raghuvanshi,,,,,,,,,,,5.0,22566.0,Angkrish Raghuvanshi,Kolkata Knight Riders 
INDIAN PREMIER LEAGUE 2025,114960,Kolkata Knight Riders vs Royal Challengers Bengaluru, 1st Match,Royal Challenger Bengaluru won by 7 wkts,KKR,RCB,23-Mar,,Rinku Singh,b Krunal Pandya,12,10,1,0,120.0,6,inn1,Rinku Singh,rsingh,,,,,,,,,,,6.0,10896.0,Rinku Singh,Kolkata Knight Riders 
INDIAN PREMIER LEAGUE 2025,114960,Kolkata Knight Riders vs Royal Challengers Bengaluru, 1st Match,Royal Challenger Bengaluru won by 7 wkts,KKR,RCB,23-Mar,,Russell,b Suyash Sharma,4,3,1,0,133.33,7,inn1,Russell,Russell,,,,,,,,,,,7.0,7736.0,Andre Russell,Kolkata Knight Riders 
INDIAN PREMIER LEAGUE 2025,114960,Kolkata Knight Riders vs Royal Challengers Bengaluru, 1st Match,Royal Challenger Bengaluru won by 7 wkts,KKR,RCB,23-Mar,,Ramandeep Singh,not out,6,9,0,0,66.67,8,inn1,Ramandeep Singh,rdsingh,,,,,,,,,,,8.0,12337.0,Ramandeep Singh,Kolkata Knight Riders 
INDIAN PREMIER LEAGUE 2025,114960,Kolkata Knight Riders vs Royal Challengers Bengaluru, 1st Match,Royal Challenger Bengaluru won by 7 wkts,KKR,RCB,23-Mar,,Varun Chakaravarthy,Did not bat,0,0,0,0,0.0,12,inn1,Varun Chakaravarthy,Chakaravarthy,Varun Chakaravarthy,4.0,0.0,43.0,1.0,0.0,0.0,10.8,9.0,Varun Chakaravarthy,9.0,12926.0,Varun Chakaravarthy,Kolkata Knight Riders 
INDIAN PREMIER LEAGUE 2025,114960,Kolkata Knight Riders vs Royal Challengers Bengaluru, 1st Match,Royal Challenger Bengaluru won by 7 wkts,KKR,RCB,23-Mar,,Harshit Rana,c Jitesh Sharma b Hazlewood,5,6,1,0,83.33,9,inn1,Harshit Rana,hrana,Harshit Rana,3.0,0.0,32.0,0.0,0.0,0.0,10.7,8.0,Harshit Rana,9.0,24729.0,Harshit Rana,Kolkata Knight Riders 
